TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,SEASON_YEAR
1641738,1641738,Kobe,Brown,Kobe Brown,PF,78.5,6' 6.50'',,,252.20,84.75,7' 0.75'',106.5,8' 10.50'',,8.75,9.75,2023
1641723,1641723,Kobe,Bufkin,Kobe Bufkin,SG,76.25,6' 4.25'',,,186.80,79.75,6' 7.75'',102.5,8' 6.50'',,8.0,9.25,2023
1641739,1641739,Toumani,Camara,Toumani Camara,PF,79.0,6' 7.00'',,,220.40,84.5,7' 0.50'',107.0,8' 11.00'',,9.0,10.0,2023
1631321,1631321,Sidy,Cissoko,Sidy Cissoko,SF,77.5,6' 5.50'',,,223.80,81.75,6' 9.75'',104.0,8' 8.00'',,9.25,10.0,2023
1641740,1641740,Jaylen,Clark,Jaylen Clark,SG,76.0,6' 4.00'',,,204.20,81.0,6' 9.00'',101.5,8' 5.50'',,8.5,9.0,2023
1641730,1641730,Noah,Clowney,Noah Clowney,PF,,,,,,,,,,,,,2023
1641731,1641731,Bilal,Coulibaly,Bilal Coulibaly,SG-SF,,,,,,,,,,,,,2023
1641741,1641741,Ricky,Council IV,Ricky Council IV,SF,77.0,6' 5.00'',,,208.00,81.0,6' 9.00'',103.0,8' 7.00'',,7.75,8.5,2023
1641711,1641711,Gradey,Dick,Gradey Dick,SG,78.25,6' 6.25'',,,204.00,80.75,6' 8.75'',101.0,8' 5.00'',,8.25,9.0,2023
1641743,1641743,Nikola,Djurisic,Nikola Djurisic,SF,79.0,6' 7.00'',,,217.60,80.25,6' 8.25'',102.0,8' 6.00'',,8.25,9.5,2023
1641744,1641744,Zach,Edey,Zach Edey,C,87.25,7' 3.25'',,,306.40,94.5,7' 10.50'',115.5,9' 7.50'',,9.75,11.0,2023
1641745,1641745,Adam,Flagler,Adam Flagler,PG,73.0,6' 1.00'',,,191.80,76.5,6' 4.50'',97.0,8' 1.00'',,8.0,9.25,2023
1641718,1641718,Keyonte,George,Keyonte George,SG,,,,,,,,,,,,,2023
1631243,1631243,Mouhamed,Gueye,Mouhamed Gueye,C,82.25,6' 10.25'',,,212.60,87.25,7' 3.25'',110.5,9' 2.50'',,9.0,10.0,2023
1641722,1641722,Jordan,Hawkins,Jordan Hawkins,SG,76.25,6' 4.25'',,,186.00,78.75,6' 6.75'',101.5,8' 5.50'',,8.25,8.75,2023
1641746,1641746,Coleman,Hawkins,Coleman Hawkins,PF,80.5,6' 8.50'',,,224.40,84.25,7' 0.25'',108.5,9' 0.50'',,8.75,8.75,2023
1630703,1630703,Scoot,Henderson,Scoot Henderson,PG,,,,,,,,,,,,,2023
1641707,1641707,Taylor,Hendricks,Taylor Hendricks,PF,80.25,6' 8.25'',,,213.60,84.5,7' 0.50'',107.0,8' 11.00'',,9.25,10.25,2023
1641747,1641747,DaRon,Holmes II,DaRon Holmes II,C,81.0,6' 9.00'',,,220.80,84.5,7' 0.50'',109.0,9' 1.00'',,8.5,9.5,2023
